 Blood Bank Name, Address, Contact No, Latitude, Longitude
Sri Buddala Narasimhamurty Voluntary Blood Bank,"D.No.34-4/5, Ground Floor, Supriya Towers, Tanuku
",08819 225269,16.414033,80.647085
Rajiv Gandhi Institute of Medical Sciences Blood Bank,"Blood Bank Medical Officer, O.P. Block Ground Floor, Blood Bank, RIMS General Hospital,Puttlampalli, Kadapa ( RIMS, Kadapa).",08562 225665,15.133392,78.514102
"Indian Red Cross Society, Blood Bank","D.No. 10-971, Opposite to Mattipedda Puli, Trunk Road, Kadapa
",08562 272829,14.467354,78.824134
Fathima Institute of Medical Sciences Blood Bank,"Ramarajupalli, Pulivendula Road Kadapa","08562 200505, 08562 200092",14.4803398,78.8001296
Ramakrishna Mission Hospital Blood bank,"Ramakrishna Mission Hospital 
P.O. Ramakrishna Mission
Itanagar,
"," 0360-221 2263, 221 8780",27.086178,93.609065
Upper Siang District Hospital Blood Bank,"District Hospital, Yingkiong, Upper Siang District, 
Arunachal Pradesh.",03777 222545,28.641662,95.025348
Fakhruddin Ali Ahmed (FAA) Medical College Hospital Blood Bank,"Ground Floor  Fakhruddin Ali Ahmed Medical College, Jotigaon, Jania Road.
Opposite to Chaulkhowa River ",03665 252088,26.323792,90.986661
Bongaigaon Civil Hospital Blood Bank,"Main Road, Mayapuri,Bongaigaon",03664 228103,26.456671,90.560234
Lower Assam Hospital Blood Bank,"Chapaguri Road, North Bongaigaon",3664230465,26.492861,90.551479
Silchar Medical College and Hospital Blood Bank,"Krishnapur Medical Road, Ghungoor, Silchar
",03842 229103,24.775578,92.794251
Barak Blood Bank and Clinical Research Centre,"Central Rd, Tarapur, Kanakpur Part-II", 03842 222 185,24.808015,92.795242
Bongaigaon Refinery (BRPL) Hospital Blood Bank ,"BRPL Refinery, iocl/bgr township","03664254669, 03664253253",26.510577,90.522683
Mangaldoi Civil Hospital Blood Bank,"Mangaldoi Civil Hospital, NH 52, Mangaldoi, Darrang",03713 222024,26.437551,92.036395
Dhubri Civil Hospital Blood Bank,"Jhagrarpar, Dhubri","0366 223 2558, 03662 230959",26.034365,89.963554
Assam Medical College and Hospital Blood Bank,"Barbari, Dibrugarh",3732303731,27.486985,94.944179
Dr. Damani&#39;s Nursing Home Blood Bank,"L.G.B. Avenue, Near Circuit House",0373 2300928,27.4898858,94.9229632
Aditya Diagnostic Hospital Blood Bank,"Bordoloi Avenue, Dibrugarh","0373 2302219, 0373 2302220",27.491383,94.931116
Sri Manta Sankardeva Hospital and Research Centre Blood Bank,"Chowkindinge, Mancotta Road","00373 2327717, 0373 2327715",27.472971,94.911391
Oil India Limited Hospital Blood Bank,"Oil Hospital, Duliajan",0374 2806356,27.359192,95.323648
Haflong Civil Hospital Blood Bank ,"NH 54, Songpijaang, Haflong",03673 236 555,25.165653,93.024831
Goalpara Civil Hospital Blood Bank,"Agia Road, Goalpara","03663240337, 03663 243800",26.142267,90.610584
Solace Hospital and Research centre Pvt.Ltd Blood bank,"BOC Agia Road Road, P.O. Baladmari
Opposite to Assam Oil Petrol Pump","03663 240021, 03663 243031",26.164643,90.624877
Kushal Konwar (KK) Civil Hospital Blood Bank,"Abita Building, 1st floor,  Golaghat Near stataion Rd
","00377 428 0042, 03774 280265",26.510171,93.964569
Vivekananda Kendra NRL Hospital Blood Bank,"NRL Township, Numaligarh Refinery Complex","03776-266-566,03776-266-700",26.591371,93.749516
S. K. Roy Civil Hospital Blood Bank ,"Hailakandi Civil Hospital, NH 154, Bashdahar, Hailakandi","03744 281443, 03744 222423",24.671769,92.563355
Jorhat Medical College and Hospital Blood Bank ,"Telemedicine Department, KB Road, Kushal Nagar, Tarajan",0376 2370155,26.742573,94.195109
Mahendra Mohan Choudhury (MMC) Hospital  Blood Bank,"Panbazar, Guwahati",0361 2733004,26.185505,91.740485
Dispur Blood Bank,"Ganeshguri, Dispur",0825 399124 ext 222,26.149823,91.786638
Saharia&#39;s Path Lab & Blood Bank,"Guwahati - Shillong Rd, Near Petrol Pump, ABC, Bhangagarh
Opposite Anil Plaza","0361-2458595, 0361 245 8594",26.16274,91.770664
International Hospital Blood Bank,"Lotus Tower, G.S. Road, Christian Basti",3617135005,26.154059,91.781267
Hayat Hospital Blood Bank,"Odalbakra, Lalganesh",0361-2475550/51/52/53/54,26.139171,91.746199
Rahman Hospital Private Limited Blood Bank,"VIP Road, Sixmile, Khanapara, ",0361 233444,26.135133,91.809429
GNRC Institute of Medical Sciences Blood bank,"Sila Grant Town, North Guwahati , Near IIT Guwahati","03612227700, 03612227701",26.202192,91.693312
Central Hospital N. F. Railway Blood Bank,"PNGB Road, Near Kamakhya Railway Station, Maligaon, Guwahati","03612723762, 03612570492",26.151872,91.694899
G.N.R.C. Hospital Blood Bank,"Dispur, Guwahati",0361 2227700,26.1391,91.794024
Guwahati Medical College and Hospital (GMCH) State of The Art Model Blood Bank,"GMCH Complex, GMCH Rd, Bhangagarh, Guwahati",0361 252 9457,26.159914,91.768498
Dr. B. Borooah Cancer Institute Blood Bank,"Gopinath Nagar, Birubari, Guwahati","0361 2472366, 0361 2472636",26.165087,91.747674
Down Town Hospital Blood Bank ,"4th Floor, Buiding No:1, G.S. Road, Dispur","00361 2332741, 0361 2334168",26.136151,91.796833
Ganga Hospital Blood Bank,"G. S. Road, Lachit Nagar, Ulubari, 
Near KFC; Neubari",0361 2454742,26.172081,91.759992
 Surakhya  Blood Bank ,"Arya Hospital complex, A.M. Road, Rehabri
Opposite Apsara Cinema Hall","03612606665, 0361 2606888",26.175065,91.75257
Marwari Hospital and Research Centre Blood Bank,"Sati Jaymati Road, Athgaon",0361 2733737,26.172012,91.740106
Sanjevani Hospital Blood Bank,"Maligaon,  Guwahati",0361 2674892,26.161206,91.70941
Narayana Hrudayalaya Limited Blood Bank,"Tularam Bafana Civil Hospital Campus, North Guwahati, Amingaon.",3612680321,26.20775,91.678242
Karimganj Civil Hospital Blood Bank,Karimganj,"03843260490, 03844 263200",24.867595,92.361806
R.N.B. Civil Hospital Blood Bank,"Habrubil, Gossaigaon, Kokrajhar",03661 276436,26.452881,89.976397
North Lakhimpur Civil Hospital Blood Bank,North Lakhimpur,"03752 242240, 03752 243182",27.242685,94.106483
Haji Abdul Majid Memorial Hospital and Research Centre Blood Bank,"Hojai, Nagaon",03674-252514,26.015994,92.868186
B.P. Civil Hospital Blood Bank,"Civil Road, Nagaon",03672-251105,26.344942,92.689464
North East Blood Bank and Research Centre,"N.H. 37, Haibargaon, ",03672 223351,26.344263,92.680991
S. M. K. Civil Hospital Blood Bank ,Maszid Road ,03624-223555,26.448222,91.435618
Nalbari Maternity Hospital Blood Bank,Alternative Road,3624220840,26.440614,91.43584
Catholic Hospital Blood Bank,Borgang,3715291162,26.815339,93.320185
Kanaklata Civil Hospital Blood Bank,"Main Road, Tezpur","003712-252999, 03712 220033",26.628524,92.796499
Tezpur Medical College Hospital Blood Bank ,Bihaguri,03712 241344,26.680968,92.653349
Indian Oil Corp Ltd (AOD) Hospital blood bank,"IOCL, Assam Division, Digboi",03751-263515,27.39287,95.62943
Tinsukia Civil Hospital Blood Bank,"Bordoloi Nagar, Tinsukia",0374 2308343,27.498632,95.358861
Tinsukia Blood Bank,"S.R. Lohia Road, Chiravapathy, IMA House, Tinsukia",0374 2332080,27.490438,95.363017
Sadar Hospital Aurangabad Blood Bank,Old  G.T. Road,06186 224533,24.7528199,84.3743187
Meera Nursing Home Blood Bank and Research Centre,"Pokharia Rd, Chitragupta Nagar, Begusarai,",06243 222250,25.4160152,86.139803
Rastra Kavi Dinkar Blood Bank,"Sadar Hospital, Begusarai

",06243 220072,25.4138,86.13596
Jawaharlal Nehru Medical College Hospital (JNMCH) Blood Bank,"Mayaganj, Tilkamanjhi, ",0641 2409555  ,25.264217,87.002126
Darbhanga Medical College and Hospital (DMCH) Regional Blood Bank,"Darbhanga Surgery Building, Ground Floor, DMCH Campus, DMCH Road",06272 233 092,26.133426,85.898943
"Indian Red Cross Society Blood Bank, Motihari","Red Cross Society Sadar Hospital road, Motihari, Red Cross Bhawan, Hospital Road","06252 22202, 06252 232202",26.647477,84.910299
Duncan Hospital Blood Bank,"Near Nepal Custom Gate, East Champaran District, Raxaul","06255 220653, 06255 222641",26.9895674,84.8506073
Anugrah Narayan Memorial Magadh Medical College Hospital (ANMMCH) Blood Bank,Sher Ghati Road,0631 2410339,24.771176,84.960302
" Sadar Hospital, Gopalganj Blood Bank","Ward No. 15, Gopalganj",06156-224754,26.460762,84.441119
Sadar Hospital Jamui Blood Bank,"185, Khan Hospital Road ",6345222820,25.20523,85.514552
"Amar Saheed Jagdeo Prasad, Sadar Hospital Jehanabad Blood Bank ","P G Road, Arwal More",06114 225857,40.267194,86.134902
Sadar Hospital Kaimur (Bhabua) Blood Bank ,"Kachahari Road, Kaimur",06189 223254,25.039579,83.607736
Katihar Medical College Blood Bank,"Karim Bagh, Post Box No. 23",06452 239202,25.5827911,87.5498396
Sadar Hospital Khagaria Blood Bank ,"Ward Number 14, Khagaria",06244 222 134,25.50788,86.474581
Mata Gujri Memorial (MGM) Blood Bank,Medical College and Lions Seva Kendra Hospital Blood Bank,06456 223475,26.102327,87.9687313
Sadar Hospital Kishanganj Blood Bank ,Hospital Road,"06456 223502, 06456 226464",26.101776,87.948834
Sadar Hospital Muzaffarpur Blood Bank,"Sutapatti, Pokhraira, Near Muzaffarpur Railway Station","0625-2266055, 0625-2266056",26.1226051,85.3797431
Sinha Blood Bank Muzaffarpur,"Ward no. 5, Imlichatti Sinha Blood Bank (A unit of Dr. A.K. Sinha Nursing Home)
",0621 2216140,26.1262394,85.3749922
Sri Krishna Medical College Hospital (SKMCH) Blood Bank ,"National Highway 77, Uma Nagar, Rasulpur Saidpur Bazid
",0621 2233033,26.167644,85.392082
Krishna Devi Devi Prasad Kejriwal Maternity Hospital Blood bank,"Juran   Chapra, Road No.2, ",0621 2216309;2216410 ,26.1288882,85.3756369
Nalanda Blood Bank (A Unit of Janata Karah Kalyan Samaj),"Nalanda Blood Bank (A Unit of Janata Karah Kalyan Samaj), Azizghat Main Rd, Baradari, Bihar Sharif,

","06112230856, 06112688765",25.2027187,85.5293999
Bharat Blood Bank,"Churi Market, Near jahaji kothi, churi market Kadamkuan, ",0612 2675213,25.6137055,85.152585
Kurji Holy Family Hospital Blood Bank,"Danapur Road, Sadaquat Ashram P.O, Kurji","0612 2252156, 0612 2264117, 0612 2262540",25.6357241,85.1120992
National Blood Bank & Resarch Center,"NC/ 2B Main Road, Kankarbagh, Near Sri Ram Hospital",0612 2355575,25.6001041,85.1543704
Nalanda Medical College and Hospital Blood Bank,"Agamkuan, Near Shitla Mandir",0612-2918523/2631159,25.594095,85.137565
Lions Mahavir Cancer Sansthan Blood Bank,"Mahavir Cancer Sansthan, Phulwarisharif
","0612 2250127, 0612 2253956 (Ext. Blood Bank - 400)",25.5782712,85.0812062
Tripolia Social Service Hospital and Blood Bank,Gulzarbarg,0612 2311065,25.6096329,85.2035187
Shashi Blood Bank,"Shashi Blood Bank, Ashok Rajpath, Patna",0612 2303365,25.619308,85.159459
Patliputra Blood Bank,"Opp. ENT Outdoor, Patna Medical College Hospital, Ashok Rajpath Road, Bankipur
",0612 2300840,25.619186,85.161053
Bihar State Patna Medical College and Hospital (PMCH) Blood Bank,"Ashok Raj Path, Bankipore

",0612 2300334,25.619794,85.158851
Indian Red Cross Society (IRCS) Patna Blood Bank,"Indian Red Cross Bhawan, North Gandhi Maidan",0612 2201035,25.619909,85.145263
Jaiprabha Hospital Model Blood Bank (MBB),"State of art Model Blood Bank,
Jai Prabha Hospital Campus, P.C.Colony, Kankarbagh, Near Ganga Devi Mahila Maha Vidyalaya",0612 2355805,25.60017,85.152281
Paras HMRI Hospital Blood Bank,"NH 30, Bailey Road, Raja Bazar","06127107828, 0612 710770 (Ext. 7828)",25.6053351,85.0826713
Indira Gandhi Institute of Medical Sciences (IGIMS) Blood Bank ,"Baily Road, Sheikpura, Raja Bazar, Near Sanjay Gandhi Botanical Garden","0612 2297631, 0612 2297099 (Ext - 125) ",25.611687,85.089567
Life Line Blood Bank,"Govind Mitra Road

",0612 2301600 ,25.6176632,85.1597326
Paras Hmri Hospital Blood Bank,"Baily Road, Raja bazaar",0612 7107777,25.6053351,85.0826713
